time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,18.91,79.48,0.0,-0.0,0.0,268.87,2.89,126.0,101950.0
1990-01-01 01:00:00+00:00,18.51,82.79,0.0,-0.0,0.0,266.54,2.98,121.0,101960.0
1990-01-01 02:00:00+00:00,18.11,86.1,0.0,-0.0,0.0,264.21,3.07,120.0,101990.0
1990-01-01 03:00:00+00:00,17.71,89.42,0.0,-0.0,0.0,261.87,3.16,122.0,101990.0
1990-01-01 04:00:00+00:00,17.31,92.73,0.0,-0.0,0.0,259.54,3.25,122.0,101990.0
1990-01-01 05:00:00+00:00,16.9,96.05,0.0,-0.0,0.0,257.21,3.34,122.0,102000.0
1990-01-01 06:00:00+00:00,16.5,99.36,0.0,-0.0,0.0,254.87,3.43,120.0,102010.0
1990-01-01 07:00:00+00:00,16.1,100.0,0.0,-0.0,0.0,252.54,3.52,110.0,101950.0
1990-01-01 08:00:00+00:00,16.09,99.4,0.0,-0.0,0.0,377.0,2.41,110.0,101920.0
1990-01-01 09:00:00+00:00,16.28,96.05,0.0,-0.0,0.0,383.75,2.14,109.0,101880.0
1990-01-01 10:00:00+00:00,16.32,96.05,0.0,-0.0,0.0,382.2,2.07,108.0,101860.0
1990-01-01 11:00:00+00:00,16.48,99.4,0.0,-0.0,0.0,392.1,1.93,108.0,101860.0
1990-01-01 12:00:00+00:00,16.59,99.4,0.0,-0.0,0.0,395.55,2.07,106.0,101850.0
1990-01-01 13:00:00+00:00,16.7,99.4,0.0,-0.0,0.0,396.35,2.0,107.0,101900.0
1990-01-01 14:00:00+00:00,16.88,99.4,51.75,16.39,49.65,394.8,2.0,109.0,101950.0
1990-01-01 15:00:00+00:00,17.68,96.05,150.35,100.19,119.65,397.1,2.76,118.0,102000.0
1990-01-01 16:00:00+00:00,19.13,89.8,220.4,130.5,161.6,396.35,3.17,129.0,102060.0
1990-01-01 17:00:00+00:00,20.63,84.05,319.6,264.33,174.0,398.85,3.52,146.0,102090.0
1990-01-01 18:00:00+00:00,22.27,73.6,495.55,633.75,115.1,407.4,3.72,163.0,102030.0
1990-01-01 19:00:00+00:00,23.31,68.85,298.2,230.25,161.05,373.5,3.52,171.0,101940.0
1990-01-01 20:00:00+00:00,23.3,68.85,339.75,407.85,120.65,400.2,3.66,159.0,101850.0
1990-01-01 21:00:00+00:00,23.36,68.85,200.5,259.85,89.05,384.15,4.14,154.0,101840.0
1990-01-01 22:00:00+00:00,22.77,73.6,112.25,245.9,43.85,394.2,3.93,145.0,101840.0
1990-01-01 23:00:00+00:00,21.67,81.35,10.35,34.65,7.05,375.05,3.72,139.0,101860.0
1990-01-02 00:00:00+00:00,19.79,89.85,0.0,-0.0,0.0,360.75,3.31,134.0,101870.0
1990-01-02 01:00:00+00:00,18.56,96.1,0.0,-0.0,0.0,349.05,3.31,131.0,101930.0
1990-01-02 02:00:00+00:00,18.06,99.4,0.0,-0.0,0.0,364.8,3.59,129.0,101950.0
1990-01-02 03:00:00+00:00,17.98,99.4,0.0,-0.0,0.0,389.4,3.66,127.0,101990.0
1990-01-02 04:00:00+00:00,18.09,99.4,0.0,-0.0,0.0,396.55,3.79,127.0,102020.0
1990-01-02 05:00:00+00:00,18.34,96.1,0.0,-0.0,0.0,398.3,3.24,128.0,102050.0
1990-01-02 06:00:00+00:00,18.69,99.4,0.0,-0.0,0.0,402.95,3.24,131.0,102070.0
1990-01-02 07:00:00+00:00,19.31,92.9,0.0,-0.0,0.0,407.75,3.79,140.0,102020.0
1990-01-02 08:00:00+00:00,19.51,96.1,0.0,-0.0,0.0,409.3,3.72,141.0,102010.0
1990-01-02 09:00:00+00:00,19.61,96.1,0.0,-0.0,0.0,406.4,3.59,141.0,102000.0
1990-01-02 10:00:00+00:00,19.68,96.1,0.0,-0.0,0.0,407.75,3.52,139.0,102010.0
1990-01-02 11:00:00+00:00,19.62,96.1,0.0,-0.0,0.0,402.9,3.52,136.0,102010.0
1990-01-02 12:00:00+00:00,19.44,96.1,0.0,-0.0,0.0,395.75,3.38,135.0,102010.0
1990-01-02 13:00:00+00:00,19.43,96.1,0.0,-0.0,0.0,400.0,3.31,134.0,102080.0
1990-01-02 14:00:00+00:00,19.47,96.1,80.75,211.21,53.8,395.4,3.17,134.0,102140.0
1990-01-02 15:00:00+00:00,20.18,96.1,130.6,67.77,109.85,399.65,3.1,134.0,102210.0
1990-01-02 16:00:00+00:00,21.17,89.95,202.35,97.61,158.35,408.35,4.55,138.0,102260.0
1990-01-02 17:00:00+00:00,22.15,87.05,276.75,212.0,159.85,411.45,5.1,140.0,102280.0
1990-01-02 18:00:00+00:00,23.08,78.85,375.8,320.87,182.85,402.35,5.72,145.0,102240.0
1990-01-02 19:00:00+00:00,23.99,71.35,244.75,53.76,212.65,403.1,5.86,153.0,102130.0
