time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,0.76,71.98,3.75,24.51,2.5,234.25,1.9,157.0,102010.0
1990-01-01 01:00:00+00:00,0.92,74.89,0.0,-0.0,0.0,237.26,1.94,154.0,102050.0
1990-01-01 02:00:00+00:00,1.08,77.79,0.0,-0.0,0.0,240.27,1.98,156.0,102020.0
1990-01-01 03:00:00+00:00,1.24,80.7,0.0,-0.0,0.0,243.28,2.02,163.0,102030.0
1990-01-01 04:00:00+00:00,1.4,83.6,0.0,-0.0,0.0,246.28,2.06,154.0,102010.0
1990-01-01 05:00:00+00:00,1.56,86.51,0.0,-0.0,0.0,249.29,2.1,148.0,102010.0
1990-01-01 06:00:00+00:00,1.72,89.41,0.0,-0.0,0.0,252.3,2.14,148.0,102020.0
1990-01-01 07:00:00+00:00,1.89,92.32,0.0,-0.0,0.0,255.31,2.18,145.0,102090.0
1990-01-01 08:00:00+00:00,-0.28,88.45,0.0,-0.0,0.0,254.85,2.28,151.0,102090.0
1990-01-01 09:00:00+00:00,-0.41,88.45,0.0,-0.0,0.0,253.3,2.21,147.0,102030.0
1990-01-01 10:00:00+00:00,-0.18,85.1,0.0,-0.0,0.0,265.5,2.14,148.0,102030.0
1990-01-01 11:00:00+00:00,0.58,85.15,0.0,-0.0,0.0,277.7,2.55,151.0,102000.0
1990-01-01 12:00:00+00:00,0.97,85.2,0.0,-0.0,0.0,276.95,2.62,153.0,101920.0
1990-01-01 13:00:00+00:00,1.02,85.2,0.0,-0.0,0.0,276.15,2.41,162.0,101910.0
1990-01-01 14:00:00+00:00,1.6,82.0,0.0,-0.0,0.0,288.15,2.69,159.0,101890.0
1990-01-01 15:00:00+00:00,2.61,76.0,0.0,-0.0,0.0,312.75,2.83,156.0,101850.0
1990-01-01 16:00:00+00:00,3.3,73.3,0.0,-0.0,0.0,322.2,2.55,158.0,101790.0
1990-01-01 17:00:00+00:00,3.68,76.15,20.35,7.99,19.35,319.7,2.48,175.0,101800.0
1990-01-01 18:00:00+00:00,4.42,73.45,19.55,0.0,19.55,328.05,2.97,175.0,101820.0
1990-01-01 19:00:00+00:00,4.76,82.35,19.6,0.0,19.6,330.15,3.52,167.0,101690.0
1990-01-01 20:00:00+00:00,4.57,92.25,22.25,0.0,22.25,332.3,3.31,175.0,101630.0
1990-01-01 21:00:00+00:00,4.96,88.85,18.25,0.0,18.25,334.8,3.38,178.0,101580.0
1990-01-01 22:00:00+00:00,5.38,88.9,18.4,0.19,18.35,335.2,3.93,175.0,101570.0
1990-01-01 23:00:00+00:00,5.99,92.3,7.75,5.46,6.8,335.95,4.62,174.0,101500.0
1990-01-02 00:00:00+00:00,6.82,95.8,0.65,0.0,0.65,335.95,5.72,178.0,101430.0
1990-01-02 01:00:00+00:00,7.72,92.35,0.0,-0.0,0.0,338.95,6.14,179.0,101360.0
1990-01-02 02:00:00+00:00,8.44,89.1,0.0,-0.0,0.0,335.4,6.0,179.0,101290.0
1990-01-02 03:00:00+00:00,8.63,92.4,0.0,-0.0,0.0,349.1,5.93,181.0,101230.0
1990-01-02 04:00:00+00:00,8.91,89.1,0.0,-0.0,0.0,336.55,5.93,184.0,101170.0
1990-01-02 05:00:00+00:00,9.03,89.1,0.0,-0.0,0.0,348.35,6.21,186.0,101130.0
1990-01-02 06:00:00+00:00,8.81,95.85,0.0,-0.0,0.0,346.6,6.28,184.0,101110.0
1990-01-02 07:00:00+00:00,8.41,92.4,0.0,-0.0,0.0,341.55,5.79,188.0,100970.0
1990-01-02 08:00:00+00:00,8.31,95.8,0.0,-0.0,0.0,343.7,6.14,183.0,100920.0
1990-01-02 09:00:00+00:00,8.24,95.8,0.0,-0.0,0.0,343.7,6.34,184.0,100850.0
1990-01-02 10:00:00+00:00,8.23,95.8,0.0,-0.0,0.0,345.45,6.41,182.0,100800.0
1990-01-02 11:00:00+00:00,8.37,92.4,0.0,-0.0,0.0,348.35,6.48,182.0,100750.0
1990-01-02 12:00:00+00:00,8.56,95.85,0.0,-0.0,0.0,349.3,6.62,181.0,100640.0
1990-01-02 13:00:00+00:00,8.76,95.85,0.0,-0.0,0.0,350.65,6.9,182.0,100540.0
1990-01-02 14:00:00+00:00,8.95,95.85,0.0,-0.0,0.0,351.85,7.38,184.0,100450.0
1990-01-02 15:00:00+00:00,9.09,95.85,0.0,-0.0,0.0,354.15,8.07,184.0,100370.0
1990-01-02 16:00:00+00:00,9.15,95.85,0.0,-0.0,0.0,350.5,8.48,184.0,100280.0
1990-01-02 17:00:00+00:00,9.26,95.85,23.6,10.76,22.25,353.95,8.41,185.0,100240.0
1990-01-02 18:00:00+00:00,9.41,92.45,14.5,0.0,14.5,352.2,8.34,187.0,100200.0
1990-01-02 19:00:00+00:00,10.4,95.9,12.4,0.0,12.4,359.0,8.76,193.0,100120.0
1990-01-02 20:00:00+00:00,10.49,95.9,11.95,0.0,11.95,360.75,8.41,196.0,100070.0
1990-01-02 21:00:00+00:00,10.49,95.9,15.15,0.0,15.15,361.1,7.86,203.0,100070.0
1990-01-02 22:00:00+00:00,10.36,95.9,11.8,1.31,11.45,358.4,6.83,211.0,100170.0
1990-01-02 23:00:00+00:00,10.08,95.9,7.75,0.0,7.75,355.7,6.34,208.0,100220.0
1990-01-03 00:00:00+00:00,9.74,95.85,0.8,0.0,0.8,353.4,6.34,208.0,100250.0
1990-01-03 01:00:00+00:00,9.34,95.85,0.0,-0.0,0.0,340.15,5.86,207.0,100300.0
1990-01-03 02:00:00+00:00,8.97,95.85,0.0,-0.0,0.0,338.65,5.45,202.0,100320.0
1990-01-03 03:00:00+00:00,8.95,92.45,0.0,-0.0,0.0,347.95,5.31,203.0,100350.0
1990-01-03 04:00:00+00:00,8.79,95.85,0.0,-0.0,0.0,344.3,5.17,204.0,100370.0
1990-01-03 05:00:00+00:00,8.68,95.85,0.0,-0.0,0.0,341.2,4.69,200.0,100360.0
1990-01-03 06:00:00+00:00,8.51,95.85,0.0,-0.0,0.0,341.0,4.28,191.0,100260.0
1990-01-03 07:00:00+00:00,8.16,95.8,0.0,-0.0,0.0,335.95,4.41,195.0,100140.0
1990-01-03 08:00:00+00:00,7.99,95.8,0.0,-0.0,0.0,335.55,3.93,186.0,100090.0
1990-01-03 09:00:00+00:00,7.79,99.4,0.0,-0.0,0.0,336.15,4.0,185.0,100040.0
1990-01-03 10:00:00+00:00,7.64,99.4,0.0,-0.0,0.0,337.3,3.72,182.0,100020.0
1990-01-03 11:00:00+00:00,7.49,95.8,0.0,-0.0,0.0,338.3,3.52,178.0,100000.0
1990-01-03 12:00:00+00:00,7.35,95.8,0.0,-0.0,0.0,338.85,3.52,179.0,99940.0
1990-01-03 13:00:00+00:00,7.19,99.4,0.0,-0.0,0.0,340.0,3.31,179.0,99870.0
1990-01-03 14:00:00+00:00,7.04,99.4,0.0,-0.0,0.0,340.6,3.1,180.0,99840.0
1990-01-03 15:00:00+00:00,6.93,95.8,0.0,-0.0,0.0,340.0,2.9,181.0,99840.0
1990-01-03 16:00:00+00:00,6.73,99.4,0.0,-0.0,0.0,329.55,2.76,178.0,99810.0
1990-01-03 17:00:00+00:00,6.68,99.4,46.1,31.36,42.15,320.85,2.62,185.0,99840.0
1990-01-03 18:00:00+00:00,7.09,99.4,139.65,266.81,77.7,330.35,2.76,191.0,99850.0
1990-01-03 19:00:00+00:00,7.66,92.35,144.3,212.16,80.0,302.1,4.0,210.0,99840.0
1990-01-03 20:00:00+00:00,8.09,89.05,154.7,143.07,106.95,315.85,3.86,210.0,99830.0
1990-01-03 21:00:00+00:00,8.37,82.75,122.15,157.36,71.45,322.6,3.72,211.0,99840.0
1990-01-03 22:00:00+00:00,8.33,85.85,138.85,264.93,67.55,321.25,3.03,201.0,99890.0
1990-01-03 23:00:00+00:00,8.23,85.85,59.6,143.94,33.95,298.4,3.66,201.0,99950.0
1990-01-04 00:00:00+00:00,7.47,82.65,3.8,16.37,2.85,294.15,3.72,198.0,100020.0
1990-01-04 01:00:00+00:00,6.72,85.7,0.0,-0.0,0.0,299.7,4.0,196.0,100100.0
1990-01-04 02:00:00+00:00,6.02,82.55,0.0,-0.0,0.0,290.5,4.21,201.0,100150.0
1990-01-04 03:00:00+00:00,5.41,85.65,0.0,-0.0,0.0,284.65,4.07,204.0,100240.0
1990-01-04 04:00:00+00:00,4.96,88.85,0.0,-0.0,0.0,289.7,3.66,201.0,100360.0
1990-01-04 05:00:00+00:00,4.68,92.25,0.0,-0.0,0.0,291.65,3.38,197.0,100420.0
1990-01-04 06:00:00+00:00,4.68,92.25,0.0,-0.0,0.0,298.6,3.31,194.0,100480.0
1990-01-04 07:00:00+00:00,4.64,92.25,0.0,-0.0,0.0,293.95,3.66,195.0,100470.0
1990-01-04 08:00:00+00:00,4.54,88.85,0.0,-0.0,0.0,289.5,3.72,192.0,100490.0
1990-01-04 09:00:00+00:00,4.61,88.85,0.0,-0.0,0.0,299.75,3.79,191.0,100490.0
1990-01-04 10:00:00+00:00,4.54,88.85,0.0,-0.0,0.0,295.9,3.72,187.0,100520.0
1990-01-04 11:00:00+00:00,4.49,85.55,0.0,-0.0,0.0,299.2,3.59,190.0,100500.0
1990-01-04 12:00:00+00:00,4.28,88.8,0.0,-0.0,0.0,293.4,3.59,196.0,100500.0
1990-01-04 13:00:00+00:00,3.83,88.8,0.0,-0.0,0.0,303.45,3.72,204.0,100520.0
1990-01-04 14:00:00+00:00,3.22,95.7,0.0,-0.0,0.0,311.75,2.97,205.0,100540.0
1990-01-04 15:00:00+00:00,2.77,99.4,0.0,-0.0,0.0,311.55,2.14,196.0,100600.0
1990-01-04 16:00:00+00:00,2.61,99.4,0.0,-0.0,0.0,304.2,2.28,189.0,100680.0
1990-01-04 17:00:00+00:00,2.76,99.4,82.8,227.52,54.0,291.85,2.48,184.0,100780.0
1990-01-04 18:00:00+00:00,3.53,92.15,133.95,155.71,97.65,281.95,2.76,193.0,100890.0
1990-01-04 19:00:00+00:00,4.15,92.2,159.1,250.72,82.8,293.95,2.07,197.0,100890.0
1990-01-04 20:00:00+00:00,4.31,92.25,171.1,261.82,83.3,293.95,1.17,200.0,100970.0
1990-01-04 21:00:00+00:00,4.24,88.8,129.25,156.29,78.6,292.6,0.69,182.0,101010.0
1990-01-04 22:00:00+00:00,4.01,88.8,120.6,168.84,74.8,287.2,0.41,234.0,101140.0
1990-01-04 23:00:00+00:00,4.07,88.8,58.55,139.59,33.35,279.65,0.69,185.0,101240.0
1990-01-05 00:00:00+00:00,3.84,88.8,5.3,31.37,3.4,276.35,1.17,159.0,101340.0
1990-01-05 01:00:00+00:00,3.32,88.75,0.0,-0.0,0.0,269.3,1.66,155.0,101470.0
1990-01-05 02:00:00+00:00,2.5,88.65,0.0,-0.0,0.0,263.4,1.66,153.0,101570.0
1990-01-05 03:00:00+00:00,1.48,88.6,0.0,-0.0,0.0,257.0,2.07,159.0,101690.0
1990-01-05 04:00:00+00:00,0.81,88.55,0.0,-0.0,0.0,243.45,2.41,168.0,101780.0
1990-01-05 05:00:00+00:00,0.32,85.15,0.0,-0.0,0.0,236.85,2.48,170.0,101880.0
1990-01-05 06:00:00+00:00,0.06,88.45,0.0,-0.0,0.0,236.1,2.48,171.0,101960.0
1990-01-05 07:00:00+00:00,-0.32,91.95,0.0,-0.0,0.0,239.95,2.55,165.0,102090.0
1990-01-05 08:00:00+00:00,-0.45,91.95,0.0,-0.0,0.0,236.5,2.69,165.0,102190.0
1990-01-05 09:00:00+00:00,-0.44,91.95,0.0,-0.0,0.0,239.6,2.83,162.0,102220.0
1990-01-05 10:00:00+00:00,-0.32,91.95,0.0,-0.0,0.0,239.6,3.03,161.0,102290.0
1990-01-05 11:00:00+00:00,-0.03,92.0,0.0,-0.0,0.0,246.55,3.38,160.0,102310.0
1990-01-05 12:00:00+00:00,0.53,92.0,0.0,-0.0,0.0,264.95,3.79,164.0,102310.0
1990-01-05 13:00:00+00:00,1.05,92.05,0.0,-0.0,0.0,272.1,4.21,169.0,102300.0
1990-01-05 14:00:00+00:00,1.94,85.3,0.0,-0.0,0.0,286.8,4.83,171.0,102230.0
1990-01-05 15:00:00+00:00,2.42,85.35,0.0,-0.0,0.0,297.45,5.31,174.0,102180.0
1990-01-05 16:00:00+00:00,2.7,85.35,0.0,-0.0,0.0,296.85,5.66,177.0,102120.0
1990-01-05 17:00:00+00:00,2.84,85.4,22.05,0.0,22.05,308.3,6.21,181.0,102080.0
1990-01-05 18:00:00+00:00,2.86,88.7,38.45,0.0,38.45,311.55,6.9,185.0,102030.0
1990-01-05 19:00:00+00:00,3.26,95.7,39.75,0.0,39.75,316.05,7.24,184.0,101900.0
1990-01-05 20:00:00+00:00,3.47,95.7,30.4,0.89,30.1,320.3,7.52,183.0,101790.0
1990-01-05 21:00:00+00:00,3.65,95.7,22.05,0.0,22.05,323.55,7.38,183.0,101670.0
1990-01-05 22:00:00+00:00,3.78,99.4,12.2,0.0,12.2,324.35,7.24,183.0,101610.0
1990-01-05 23:00:00+00:00,3.87,95.75,7.15,0.0,7.15,326.3,7.38,180.0,101480.0
1990-01-06 00:00:00+00:00,4.0,95.75,0.6,0.0,0.6,327.05,7.52,178.0,101390.0
1990-01-06 01:00:00+00:00,4.23,95.75,0.0,-0.0,0.0,328.7,7.93,180.0,101250.0
1990-01-06 02:00:00+00:00,4.68,95.75,0.0,-0.0,0.0,329.4,8.14,188.0,101110.0
1990-01-06 03:00:00+00:00,5.14,95.75,0.0,-0.0,0.0,330.95,8.21,195.0,100970.0
1990-01-06 04:00:00+00:00,5.32,92.3,0.0,-0.0,0.0,331.5,8.48,198.0,100840.0
1990-01-06 05:00:00+00:00,5.43,92.3,0.0,-0.0,0.0,332.65,9.1,199.0,100720.0
